s_m,x_path_m,y_path_m,offset_m,curvature_1pm,speed_mps,ax_mps2,ay_mps2
0.0,0.050953717336869424,-3.120015342062807e-18,-0.050953717336869424,2.1649898897983523e-19,14.979640590558652,-7.277114650751017,4.858012851368769e-17
1.0,0.08336532292938371,1.0,-0.08336532292938371,5.792812880156052e-05,14.652194807876999,-2.42570488358367,0.012436405337385669
2.0,0.115718909196779,2.0,-0.115718909196779,0.00011585723508746147,14.652194807876999,0.0,0.024873020527768838
3.0,0.14795645681393635,3.0,-0.14795645681393635,0.00017378828762172589,14.652194807876999,0.0,0.03731005355200986
4.0,0.18001994645573677,4.0,-0.18001994645573677,0.00023172223772602684,14.652194807876999,0.0,0.04974770864632656
5.0,0.21185135879706127,5.0,-0.21185135879706127,0.00028966001055425567,14.652194807876999,0.0,0.06218618442905913
6.0,0.2433926745127908,6.0,-0.2433926745127908,0.0003476024963620587,14.652194807876999,0.0,0.07462567202635474
7.0,0.2745858742778065,7.0,-0.2745858742778065,0.00040555054176979197,14.652194807876999,0.0,0.0870663531964392
8.0,0.3053729387669894,8.0,-0.3053729387669894,0.0004635049410174586,14.652194807876999,0.0,0.09950839845216729
9.0,0.33569584865522034,9.0,-0.33569584865522034,0.0005214664272103219,14.652194807876999,-8.429370268459024e-08,0.11195196518157133
10.0,0.36549658461738055,10.0,-0.36549658461738055,0.000579435663554065,14.65219479637105,-8.429370268459024e-08,0.1243971955707945
11.0,0.3947171273283509,11.0,-0.3947171273283509,0.0006374132345785486,14.65219479637105,-8.429369557916289e-08,0.13684421548188316
12.0,0.4232994574630125,12.0,-0.4232994574630125,0.0006953996373494485,14.652194784865102,-8.429369557916289e-08,0.1492931312179862
13.0,0.45118555569624635,13.0,-0.45118555569624635,0.0007533952726672992,14.652194784865102,0.0,0.16174402927508055
14.0,0.4783174027029334,14.0,-0.4783174027029334,0.0008114004362537516,14.652194784865102,0.0,0.174196972925785
15.0,0.5046369791579548,15.0,-0.5046369791579548,0.0008694153099251499,14.652194784865102,-8.429369557916289e-08,0.18665200120367087
16.0,0.5300862657361913,16.0,-0.5300862657361913,0.0009274399527538818,14.652194773359154,-8.429369557916289e-08,0.1991091264780914
17.0,0.5546072431125244,17.0,-0.5546072431125244,0.0009854742922183002,14.652194773359154,0.0,0.21156833378545634
18.0,0.5781418919618346,18.0,-0.5781418919618346,0.0010435181153424236,14.652194773359154,0.0,0.22402957710948637
19.0,0.6006321929590033,19.0,-0.6006321929590033,0.0011015710598270309,14.652194773359154,-8.429369557916289e-08,0.23649277866931687
20.0,0.6220201267789114,20.0,-0.6220201267789114,0.00115963260517422,14.652194761853206,-1.6858739115832577e-07,0.24895782632991384
21.0,0.6422476740964398,21.000000000000004,-0.6422476740964398,0.001217702063807974,14.652194750347258,-8.429369557916289e-08,0.26142457282961423
22.0,0.6612568155864696,22.0,-0.6612568155864696,0.0012757785721937904,14.652194750347258,0.0,0.27389283320910207
23.0,0.6789895319238819,23.0,-0.6789895319238819,0.0013338610819609575,14.652194750347258,0.0,0.2863623820060137
24.0,0.6953878037835575,24.0,-0.6953878037835575,0.0013919483510316294,14.652194750347258,0.0,0.2988329525626174
25.0,0.7103936118403777,25.0,-0.7103936118403777,0.0014500389347614363,14.652194750347258,-8.429370268459024e-08,0.3113042347328203
26.0,0.7239489367692235,26.0,-0.7239489367692235,0.0015081311770970053,14.65219473884131,-8.429370268459024e-08,0.3237758724753012
27.0,0.7359957592449757,27.0,-0.7359957592449757,0.001566223201756376,14.65219473884131,-8.429369557916289e-08,0.3362474639744899
28.0,0.7464760599425154,28.0,-0.7464760599425154,0.0016243129034390154,14.652194727335361,-1.6858739115832577e-07,0.34871855621353554
29.0,0.7553318195367238,29.0,-0.7553318195367238,0.0016823979390727989,14.652194715829413,-1.6858739115832577e-07,0.3611886466742643
30.0,0.7625050187024818,30.0,-0.7625050187024818,0.0017404757191060727,14.652194704323465,-1.6858739115832577e-07,0.37365717941409793
31.0,0.7679376381146703,31.0,-0.7679376381146703,0.0017985433988536538,14.652194692817517,-1.6858739115832577e-07,0.38612354371665825
