s_m,x_center_m,y_center_m,heading_rad,curvature_1pm,x_left_m,y_left_m,x_right_m,y_right_m
0.0,0.0,0.0,1.5707963267948966,0.0,-4.0,2.4492935982947064e-16,4.0,-2.4492935982947064e-16
2.0,0.0,2.0,1.5707963267948966,0.0,-4.0,2.0000000000000004,4.0,1.9999999999999998
4.0,0.0,4.0,1.5707963267948966,0.0,-4.0,4.0,4.0,3.9999999999999996
6.0,0.0,6.0,1.5707963267948966,0.0,-4.0,6.0,4.0,6.0
8.0,0.0,8.0,1.5707963267948966,0.0,-4.0,8.0,4.0,8.0
10.0,0.0,10.0,1.5707963267948966,0.0,-4.0,10.0,4.0,10.0
12.0,0.0,12.0,1.5707963267948966,0.0,-4.0,12.0,4.0,12.0
14.0,0.0,14.0,1.5707963267948966,0.0,-4.0,14.0,4.0,14.0
16.0,0.0,16.0,1.5707963267948966,0.0,-4.0,16.0,4.0,16.0
18.0,0.0,18.0,1.5707963267948966,0.0,-4.0,18.0,4.0,18.0
20.0,0.0,20.0,1.5707963267948966,0.0,-4.0,20.0,4.0,20.0
22.0,0.0,22.0,1.5707963267948966,0.0,-4.0,22.0,4.0,22.0
24.0,0.0,24.0,1.5707963267948966,0.0,-4.0,24.0,4.0,24.0
26.0,0.0,26.0,1.5707963267948966,0.0,-4.0,26.0,4.0,26.0
28.0,0.0,28.0,1.5707963267948966,0.0,-4.0,28.0,4.0,28.0
30.0,0.0,30.0,1.5707963267948966,0.0,-4.0,30.0,4.0,30.0
32.0,0.0,32.0,1.5707963267948966,0.0,-4.0,32.0,4.0,32.0
34.0,0.0,34.0,1.5707963267948966,0.0,-4.0,34.0,4.0,34.0
36.0,0.0,36.0,1.5707963267948966,0.0,-4.0,36.0,4.0,36.0
38.0,0.0,38.0,1.5707963267948966,0.0,-4.0,38.0,4.0,38.0
40.0,0.0,40.0,1.5707963267948966,0.0,-4.0,40.0,4.0,40.0
42.00000000000001,0.0,42.00000000000001,1.5707963267948966,0.0,-4.0,42.00000000000001,4.0,42.00000000000001
44.0,0.0,44.0,1.5707963267948966,0.0,-4.0,44.0,4.0,44.0
46.0,0.0,46.0,1.5707963267948966,0.0,-4.0,46.0,4.0,46.0
48.0,0.0,48.0,1.5707963267948966,0.0,-4.0,48.0,4.0,48.0
50.0,0.0,50.0,1.5707963267948966,0.0,-4.0,50.0,4.0,50.0
52.0,0.0,52.0,1.5707963267948966,0.0,-4.0,52.0,4.0,52.0
54.0,0.0,54.0,1.5707963267948966,0.0,-4.0,54.0,4.0,54.0
56.0,0.0,56.0,1.5707963267948966,0.0,-4.0,56.0,4.0,56.0
58.0,0.0,58.0,1.5707963267948966,0.0,-4.0,58.0,4.0,58.0
60.0,0.0,60.0,1.5707963267948966,0.0,-4.0,60.0,4.0,60.0
62.0,0.0,62.0,1.5707963267948966,0.0,-4.0,62.0,4.0,62.0
64.0,0.0,64.0,1.5707963267948966,0.0,-4.0,64.0,4.0,64.0
66.0,0.0,66.0,1.5707963267948966,0.0,-4.0,66.0,4.0,66.0
68.0,0.0,68.0,1.5707963267948966,0.0,-4.0,68.0,4.0,68.0
70.0,0.0,70.0,1.5707963267948966,0.0,-4.0,70.0,4.0,70.0
72.0,0.0,72.0,1.5707963267948966,0.0,-4.0,72.0,4.0,72.0
74.0,0.0,74.0,1.5707963267948966,0.0,-4.0,74.0,4.0,74.0
76.0,0.0,76.0,1.5707963267948966,0.0,-4.0,76.0,4.0,76.0
78.0,0.0,78.0,1.5707963267948966,0.0,-4.0,78.0,4.0,78.0
80.0,0.0,80.0,1.5707963267948966,0.0,-4.0,80.0,4.0,80.0
82.0,0.0,82.0,1.5707963267948966,0.0,-4.0,82.0,4.0,82.0
84.00000000000001,0.0,84.00000000000001,1.5707963267948966,0.0,-4.0,84.00000000000001,4.0,84.00000000000001
86.0,0.0,86.0,1.5707963267948966,0.0,-4.0,86.0,4.0,86.0
88.00000000000001,0.0,88.0,1.5707963267948966,0.0,-4.0,88.0,4.0,88.0
90.00000000000026,0.0,90.0,1.5707963267948966,0.0,-4.0,90.0,4.0,90.0
92.00000000000352,0.0,92.0,1.5707963267948966,0.0,-4.0,92.0,4.0,92.0
94.00000000004913,0.0,94.0,1.5707963267948966,0.0,-4.0,94.0,4.0,94.0
96.0000000006842,0.0,96.0,1.5707963267948966,0.0,-4.0,96.0,4.0,96.0
98.00000000952963,0.0,98.0,1.5707963267948966,0.0,-4.0,98.0,4.0,98.0
100.00000013273069,0.0,100.0,1.5707963267948966,0.0,-4.0,100.0,4.0,100.0
102.00000184869897,0.0,102.00000000000001,1.5707963267948966,0.0,-4.0,102.00000000000001,4.0,102.00000000000001
104.00007114865737,0.0,104.0,1.5707963267948966,0.0,-4.0,104.0,4.0,104.0
106.00042194176562,0.0,106.0,1.5707963267948966,0.0,-4.0,106.0,4.0,106.0
108.00130420292048,0.0,108.0,1.5707963267948966,0.0,-4.0,108.0,4.0,108.0
110.0029194484336,0.0,109.99999999999999,1.5707963267948966,0.0,-4.0,109.99999999999999,4.0,109.99999999999999
112.0054436340525,0.0,112.0,1.5707963267948966,0.0,-4.0,112.0,4.0,112.0
114.00901312943333,0.0,114.0,1.5707963267948966,0.0,-4.0,114.0,4.0,114.0
116.01373369953049,0.0,116.0,1.5707963267948966,0.0,-4.0,116.0,4.0,116.0
118.01967987630412,0.0,118.0,1.5707963267948966,0.0,-4.0,118.0,4.0,118.0
120.02689778918685,0.0,120.0,1.5707963267948966,0.0,-4.0,120.0,4.0,120.0
122.03540685233644,0.0,122.0,1.5707963267948966,0.0,-4.0,122.0,4.0,122.0
124.04520181317947,0.0,124.0,1.5707963267948966,0.0,-4.0,124.0,4.0,124.0
126.05625468438386,0.0,126.0,1.5707963267948966,0.0,-4.0,126.0,4.0,126.0
128.06851670121645,0.0,128.0,1.5707963267948966,0.0,-4.0,128.0,4.0,128.0
130.08192025918498,0.0,130.0,1.5707963267948966,0.0,-4.0,130.0,4.0,130.0
132.0963808434003,0.0,132.0,1.5707963267948966,0.0,-4.0,132.0,4.0,132.0
134.11179894539865,0.0,134.0,1.5707963267948966,0.0,-4.0,134.0,4.0,134.0
136.1280619684346,0.0,136.0,1.5707963267948966,0.0,-4.0,136.0,4.0,136.0
138.14504612139655,0.0,138.0,1.5707963267948966,0.0,-4.0,138.0,4.0,138.0
140.16261830229465,0.0,140.0,1.5707963267948966,0.0,-4.0,140.0,4.0,140.0
142.18063797251622,0.0,142.0,1.5707963267948966,0.0,-4.0,142.0,4.0,142.0
144.19895902336222,0.0,144.0,1.5707963267948966,0.0,-4.0,144.0,4.0,144.0
