s_m,x_path_m,y_path_m,x_left_m,y_left_m,x_right_m,y_right_m,offset_m,curvature_1pm,speed_mps,speed_kph,gear,rpm,ax_mps2,ay_mps2,limit
0.0,-4.0,2.4492935982947064e-16,-4.0,2.4492935982947064e-16,4.0,-2.4492935982947064e-16,4.0,0.0,51.05655418201258,183.8035950552453,3,15966.500288852578,9.781486606190867,0.0,accel
2.0,-4.0,2.0000000000000004,-4.0,2.0000000000000004,4.0,1.9999999999999998,4.0,-7.270091737500738e-32,51.43865948121084,185.17917413235904,4,13934.117482668233,9.800495535396976,-1.9236195192185446e-28,wheelie
4.0,-4.0,4.0,-4.0,4.0,4.0,3.9999999999999996,4.0,2.908036695000295e-31,51.81868089042756,186.54725120553923,4,14037.06073615424,9.810000000000002,7.8085894367859905e-28,wheelie
6.0,-4.0,6.0,-4.0,6.0,4.0,6.0,4.0,-1.090513760625111e-30,52.195935562301806,187.9053680242865,4,14139.254513593201,9.809999999999945,-2.9710127987616762e-27,wheelie
8.0,-4.0,8.0,-4.0,8.0,4.0,8.0,4.0,4.071251373000414e-30,52.57048306059173,189.25373901813023,4,14240.71495009462,9.809999999999945,1.125153701925346e-26,wheelie
10.0,-4.0,10.0,-4.0,10.0,4.0,10.0,4.0,-1.5194491731376545e-29,52.94238084204338,190.59257103135616,4,14341.457610003623,9.809999999999945,-4.258857537382445e-26,wheelie
12.0,-4.0,12.0,-4.0,12.0,4.0,12.0,4.0,5.670671555250575e-29,53.31168435928433,191.92206369342358,4,14441.49751477365,9.809999999999889,1.6116818009044808e-25,wheelie
14.0,-4.0,14.0,-4.0,14.0,4.0,14.0,4.0,-2.116323704786465e-28,53.67844715734576,193.24240976644472,4,14540.849169113062,9.809999999999889,-6.097923673500107e-25,wheelie
16.0,-4.0,16.0,-4.0,16.0,4.0,16.0,4.0,7.898227663620803e-28,54.04272096428862,194.55379547143903,4,14639.526585534746,9.810000000000002,2.3067687631433623e-24,wheelie
18.0,-4.0,18.0,-4.0,18.0,4.0,18.0,4.0,-2.947658694969674e-27,54.40455577636822,195.8564007949256,4,14737.543307426145,9.81000000000006,-8.724644358196464e-24,wheelie
20.0,-4.0,20.0,-4.0,20.0,4.0,20.0,4.0,1.1000812013516619e-26,54.763999938134184,197.15039977728307,4,14834.912430747405,9.81000000000006,3.2992487887700854e-23,wheelie
22.0,-4.0,22.0,-4.0,22.0,4.0,22.0,4.0,-4.105558935909679e-26,55.12110021782912,198.43596078418483,4,14931.64662445594,9.810000000000002,-1.2474066239186727e-22,wheelie
24.0,-4.0,24.0,-4.0,24.0,4.0,24.0,4.0,1.5322154542287057e-25,55.475901878418895,199.71324676230802,4,15027.758149747722,9.809999999999889,4.715509032587514e-22,wheelie
26.0,-4.0,26.0,-4.0,26.0,4.0,26.0,4.0,-5.718305923323855e-25,55.82844874455998,200.98241548041594,4,15123.2588781979,9.809999999999889,-1.7822905617598096e-21,wheelie
28.0,-4.0,28.0,-4.0,28.0,4.0,28.0,4.0,2.1341008239066705e-24,56.17878326578425,202.2436197568233,4,15218.160308876833,9.809999999999945,6.735341046668188e-21,wheelie
30.0,-4.0,30.0,-4.0,30.0,4.0,30.0,4.0,-7.964572703294295e-24,56.52694657615923,203.49700767417323,4,15312.473584511317,9.809999999999889,-2.5449164825347082e-20,wheelie
32.0,-4.0,32.0,-4.0,32.0,4.0,32.0,4.0,2.9724189989270517e-23,56.87297855066112,204.74272278238,4,15406.209506755366,9.809999999999889,9.614395335356902e-20,wheelie
34.0,-4.0,34.0,-4.0,34.0,4.0,34.0,4.0,-1.1093218725378773e-22,57.21691785847923,205.98090429052522,4,15499.378550629765,9.809999999999889,-3.631670977838902e-19,wheelie
36.0,-4.0,36.0,-4.0,36.0,4.0,36.0,4.0,4.1400455902588047e-22,57.55880201345367,207.21168724843324,4,15591.990878185008,9.809999999999889,1.3716035994629883e-18,wheelie
38.0,-4.0,38.0,-4.0,38.0,4.0,38.0,4.0,-1.5450860488497342e-21,57.898667421832414,208.43520271859668,4,15684.056351438141,3.335965854541996,-5.1795234975970875e-18,wheelie
40.0,-4.0,40.0,-4.0,40.0,4.0,40.0,4.0,5.766339636373056e-21,57.79016712261952,208.0446016414303,4,15654.664918391773,-7.455034145458001,1.9257864181758972e-17,stoppie
42.00000000000001,-4.0,42.00000000000001,-4.0,42.00000000000001,4.0,42.00000000000001,4.0,-2.152027249664246e-20,57.38131591433133,206.5727372915928,4,15543.91201723385,-11.771999999999991,-7.085798098026331e-17,stoppie
44.0,-4.0,44.0,-4.0,44.0,4.0,44.0,4.0,8.031475035019703e-20,56.96953059364536,205.0903101371233,4,15432.364300128735,-11.771999999999991,2.606637241756026e-16,stoppie
46.0,-4.0,46.0,-4.0,46.0,4.0,46.0,4.0,-2.9973872890414526e-19,56.55474706919212,203.59708944909164,4,15320.004405491163,-11.772000000000048,-9.586961650468292e-16,stoppie
48.0,-4.0,48.0,-4.0,48.0,4.0,48.0,4.0,1.1186401652663836e-18,56.136898881754185,202.09283597431508,4,15206.81433031421,-11.772000000000048,3.525228268874139e-15,stoppie
50.0,-4.0,50.0,-4.0,50.0,4.0,50.0,4.0,-4.174821932161389e-18,55.715917079953854,200.5773014878339,4,15092.77539649452,-11.772000000000105,-1.295974699257475e-14,stoppie
52.0,-4.0,52.0,-4.0,52.0,4.0,52.0,4.0,1.5580647563379174e-17,55.29173008742169,199.05022831471808,4,14977.868214849908,-11.772000000000162,4.763277269706252e-14,stoppie
