x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
0.0,0.0,0.0,53.4731749540031,192.50342983441115,6,11536.03178163444,0.0,straight,0.0,0.0,braking
0.0,2.0,2.0,53.59831412096028,192.95393083545702,6,11563.0286713532,0.0,straight,0.0,0.0,accel
0.0,4.0,4.0,53.6947404406871,193.30106558647356,6,11583.831196916937,0.0,straight,0.0,0.0,accel
0.0,6.0,6.0,53.7812953800201,193.61266336807236,6,11602.504120899133,0.0,straight,0.0,0.0,accel
0.0,8.0,8.0,53.86605560281215,193.91780017012377,6,11620.789861829771,0.0,straight,0.0,0.0,accel
0.0,10.0,10.0,53.95036993645954,194.22133177125434,6,11638.979408895944,0.0,straight,0.0,0.0,accel
0.0,12.0,12.0,54.034241623097245,194.52326984315008,6,11657.073461539429,0.0,straight,0.0,0.0,accel
0.0,14.0,14.0,54.11767386957931,194.82362593048552,6,11675.07271159066,0.0,straight,0.0,0.0,accel
0.0,16.0,16.0,54.200669848028646,195.12241145290312,6,11692.977843387356,0.0,straight,0.0,0.0,accel
0.0,18.0,18.0,54.283232696375464,195.41963770695168,6,11710.789533890682,0.0,straight,0.0,0.0,accel
0.0,20.0,20.0,54.36536551888499,195.71531586798596,6,11728.508452799098,0.0,straight,0.0,0.0,accel
0.0,22.0,22.0,54.44707138667425,196.0094569920273,6,11746.13526265981,0.0,straight,0.0,0.0,accel
0.0,24.0,24.0,54.52835333821863,196.30207201758708,6,11763.670618978113,0.0,straight,0.0,0.0,accel
0.0,26.0,26.0,54.609214379848126,196.59317176745327,6,11781.115170324392,0.0,straight,0.0,0.0,accel
0.0,28.0,28.0,54.68965748623387,196.88276695044195,6,11798.469558439137,0.0,straight,0.0,0.0,accel
0.0,30.0,30.0,54.76968560086483,197.1708681631134,6,11815.734418335736,0.0,straight,0.0,0.0,accel
0.0,32.0,32.0,54.849301636515136,197.4574858914545,6,11832.910378401313,0.0,straight,0.0,0.0,accel
0.0,34.0,34.0,54.9285084757023,197.74263051252828,6,11849.998060495596,0.0,straight,0.0,0.0,accel
0.0,36.0,36.0,55.0073089711363,198.02631229609068,6,11866.998080047775,0.0,straight,0.0,0.0,accel
0.0,38.0,38.0,55.08570594616005,198.30854140617618,6,11883.911046151545,0.0,straight,0.0,0.0,accel
0.0,40.0,40.0,55.16370219518124,198.58932790265246,6,11900.737561658256,0.0,straight,0.0,0.0,accel
0.0,42.00000000000001,42.00000000000001,55.235698640670606,198.8485151064142,6,11916.269709955877,0.0,straight,0.0,0.0,accel
0.0,44.0,44.0,55.271401721010925,198.97704619563933,6,11923.972111578041,0.0,straight,0.0,0.0,accel
0.0,46.0,46.0,55.208915183696746,198.7520946613083,6,11910.491582677323,0.0,straight,0.0,0.0,braking
0.0,48.0,48.0,54.99936567480796,197.99771642930867,6,11865.284433551686,0.0,straight,0.0,0.0,braking
0.0,50.0,50.0,54.658615980324456,196.77101752916803,6,11791.7728212615,0.0,straight,0.0,0.0,braking
0.0,52.0,52.0,54.2475521350144,195.29118768605184,6,11703.091990398987,0.0,straight,0.0,0.0,braking
0.0,54.0,54.0,53.81400840327965,193.73043025180675,6,11609.561462759235,0.0,straight,0.0,0.0,braking
0.0,56.0,56.0,53.37466394505949,192.14879020221417,6,11514.779515783535,0.0,straight,0.0,0.0,stoppie
0.0,58.0,58.0,52.93167144815841,190.5540172133703,6,11419.210559429768,0.0,straight,0.0,0.0,stoppie
0.0,60.0,60.0,52.484938462078986,188.94577846348434,6,11322.83464889613,0.0,straight,0.0,0.0,stoppie
0.0,62.0,62.0,52.034368562426685,187.32372682473607,6,11225.630982072382,0.0,straight,0.0,0.0,stoppie
0.0,64.0,64.0,51.5798611074652,185.6874999868747,6,11127.577847020355,0.0,straight,0.0,0.0,stoppie
0.0,66.0,66.0,51.12131097514541,184.03671951052348,6,11028.652565241895,0.0,straight,0.0,0.0,stoppie
0.0,68.0,68.0,50.65860827865791,182.37098980316847,6,10928.831430313601,0.0,straight,0.0,0.0,stoppie
0.0,70.0,70.0,50.19163805832473,180.68989700996903,6,10828.08964141713,0.0,straight,0.0,0.0,stoppie
0.0,72.0,72.0,49.72027994737779,178.99300781056004,6,10726.401231235903,0.0,straight,0.0,0.0,stoppie
0.0,74.0,74.0,49.244407808865695,177.2798681119165,6,10623.73898762325,0.0,straight,0.0,0.0,stoppie
0.0,76.0,76.0,48.763889340578864,175.5500016260839,6,10520.074368370933,0.0,straight,0.0,0.0,stoppie
0.0,78.0,78.0,48.27858564447899,173.80290832012435,6,10415.377408320057,0.0,straight,0.0,0.0,stoppie
0.0,80.0,80.0,47.788350756652996,172.0380627239508,6,10309.616617955704,0.0,straight,0.0,0.0,stoppie
0.0,82.0,82.0,47.29303113327279,170.25491207978206,6,10202.758872510509,0.0,straight,0.0,0.0,stoppie
