x_m,y_m,s_m,v_mps,v_kph,gear,rpm,curvature_1pm,section_type,camber_rad,grade_rad,limit
0.0,0.0,0.0,39.489111347186906,142.16080084987286,6,8519.18076533711,0.0,straight,0.0,0.0,braking
0.0,2.0,2.0,39.74587496204386,143.08514986335788,6,8574.573646420102,0.0,straight,0.0,0.0,accel
0.0,4.0,4.0,39.94323015164436,143.7956285459197,6,8617.150054898937,0.0,straight,0.0,0.0,accel
0.0,6.0,6.0,40.11985040585582,144.43146146108097,6,8655.253213494185,0.0,straight,0.0,0.0,accel
0.0,8.0,8.0,40.292320817204555,145.05235494193641,6,8692.46110602015,0.0,straight,0.0,0.0,accel
0.0,10.0,10.0,40.46342219535099,145.66831990326355,6,8729.373650260817,0.0,straight,0.0,0.0,accel
0.0,12.0,12.0,40.633174174581754,146.27942702849433,6,8765.995082017693,0.0,straight,0.0,0.0,accel
0.0,14.0,14.0,40.801595918411664,146.885745306282,6,8802.329535530343,0.0,straight,0.0,0.0,accel
0.0,16.0,16.0,40.96870613564841,147.4873420883343,6,8838.381046942135,0.0,straight,0.0,0.0,accel
0.0,18.0,18.0,41.134523095752385,148.0842831447086,6,8874.153557613867,0.0,straight,0.0,0.0,accel
0.0,20.0,20.0,41.29906464352926,148.67663271670534,6,8909.650917293486,0.0,straight,0.0,0.0,accel
0.0,22.0,22.0,41.46234821319053,149.2644535674859,6,8944.876887149425,0.0,straight,0.0,0.0,accel
0.0,24.0,24.0,41.62439084181502,149.84780703053409,6,8979.835142674738,0.0,straight,0.0,0.0,accel
0.0,26.0,26.0,41.78520918224249,150.42675305607295,6,9014.529276468676,0.0,straight,0.0,0.0,accel
0.0,28.0,28.0,41.94481951542838,151.00135025554218,6,9048.962800902069,0.0,straight,0.0,0.0,accel
0.0,30.0,30.0,42.10323776228709,151.57165594423353,6,9083.139150672301,0.0,straight,0.0,0.0,accel
0.0,32.0,32.0,42.26047949504962,152.13772618217865,6,9117.061685253579,0.0,straight,0.0,0.0,accel
0.0,34.0,34.0,42.416559948159644,152.69961581337472,6,9150.733691247573,0.0,straight,0.0,0.0,accel
0.0,36.0,36.0,42.57149402873106,153.25737850343182,6,9184.158384639495,0.0,straight,0.0,0.0,accel
0.0,38.0,38.0,42.725296326588214,153.81106677571756,6,9217.338912964115,0.0,straight,0.0,0.0,accel
0.0,40.0,40.0,42.87798112390934,154.36073204607365,6,9250.278357386183,0.0,straight,0.0,0.0,accel
0.0,42.00000000000001,42.00000000000001,43.0295624044921,154.90642465617157,6,9282.979734699344,0.0,straight,0.0,0.0,accel
0.0,44.0,44.0,43.18005386265929,155.44819390557345,6,9315.4459992474,0.0,straight,0.0,0.0,accel
0.0,46.0,46.0,43.32946891182188,155.98608808255875,6,9347.68004477166,0.0,straight,0.0,0.0,accel
0.0,48.0,48.0,43.47782069271513,156.52015449377447,6,9379.684706187758,0.0,straight,0.0,0.0,accel
0.0,50.0,50.0,43.62512208132332,157.05043949276396,6,9411.462761295292,0.0,straight,0.0,0.0,accel
0.0,52.0,52.0,43.77138569650717,157.5769885074258,6,9443.016932423317,0.0,straight,0.0,0.0,accel
0.0,54.0,54.0,43.91662390734771,158.09984606645176,6,9474.349888014705,0.0,straight,0.0,0.0,accel
0.0,56.0,56.0,44.06084884021932,158.61905582478957,6,9505.464244152003,0.0,straight,0.0,0.0,accel
0.0,58.0,58.0,44.20407238560412,159.13466058817485,6,9536.362566027574,0.0,straight,0.0,0.0,accel
0.0,60.0,60.0,44.34630620465938,159.64670233677376,6,9567.047369360385,0.0,straight,0.0,0.0,accel
0.0,62.0,62.0,44.48756173554863,160.15522224797508,6,9597.521121761882,0.0,straight,0.0,0.0,accel
0.0,64.0,64.0,44.62785019954702,160.66026071836927,6,9627.78624405309,0.0,straight,0.0,0.0,accel
0.0,66.0,66.0,44.767182606930625,161.16185738495025,6,9657.845111535176,0.0,straight,0.0,0.0,accel
0.0,68.0,68.0,44.90556976265909,161.66005114557274,6,9687.700055215384,0.0,straight,0.0,0.0,accel
0.0,70.0,70.0,45.04302227186037,162.15488017869734,6,9717.35336299027,0.0,straight,0.0,0.0,accel
0.0,72.0,72.0,45.17955054512612,162.64638196245403,6,9746.807280788122,0.0,straight,0.0,0.0,accel
0.0,74.0,74.0,45.31516480362546,163.13459329305164,6,9776.064013672167,0.0,straight,0.0,0.0,accel
0.0,76.0,76.0,45.44987508404502,163.61955030256206,6,9805.125726906323,0.0,straight,0.0,0.0,accel
0.0,78.0,78.0,45.58369124336219,164.1012884761039,6,9833.994546984932,0.0,straight,0.0,0.0,accel
0.0,80.0,80.0,45.716622963458576,164.57984266845088,6,9862.672562628071,0.0,straight,0.0,0.0,accel
0.0,82.0,82.0,45.84147532553499,165.02931117192597,6,9889.60757851528,0.0,straight,0.0,0.0,accel
0.0,84.00000000000001,84.00000000000001,45.91934841645765,165.30965429924754,6,9906.407524517937,0.0,straight,0.0,0.0,accel
0.0,86.0,86.0,45.870895550849895,165.13522398305963,6,9895.954548833532,0.0,straight,0.0,0.0,braking
0.0,88.0,88.0,45.63363343042889,164.281080349544,6,9844.768821333542,0.0,straight,0.0,0.0,braking
0.0,90.0,90.0,45.22792630411332,162.82053469480795,6,9757.24362188096,0.0,straight,0.0,0.0,braking
0.0,92.0,92.0,44.73137160610432,161.03293778197556,6,9650.119427694266,0.0,straight,0.0,0.0,braking
0.0,94.0,94.0,44.20462609774498,159.13665395188193,6,9536.482021078828,0.0,straight,0.0,0.0,braking
0.0,96.0,96.0,43.66864371822277,157.20711738560198,6,9420.851898687873,0.0,straight,0.0,0.0,stoppie
0.0,98.0,98.0,43.125994318917485,155.25357954810295,6,9303.783467234993,0.0,straight,0.0,0.0,stoppie
0.0,100.0,100.0,42.57642249104552,153.27512096776388,6,9185.221626123528,0.0,straight,0.0,0.0,stoppie
0.0,102.00000000000001,102.00000000000001,42.01965607212679,151.27076185965646,6,9065.107660399257,0.0,straight,0.0,0.0,stoppie
0.0,104.0,104.0,41.45540456410082,149.23945643076294,6,8943.378899482741,0.0,straight,0.0,0.0,stoppie
0.0,106.0,106.0,40.88335735383522,147.1800864738068,6,8819.968333270886,0.0,straight,0.0,0.0,stoppie
0.0,108.0,108.0,40.3031817049535,145.0914541378326,6,8694.804178904007,0.0,straight,0.0,0.0,stoppie
0.0,109.99999999999999,109.99999999999999,39.71452048395591,142.97227374224127,6,8567.809390210698,0.0,straight,0.0,0.0,stoppie
0.0,112.0,112.0,39.11698957629682,140.82116247466854,6,8438.901100265439,0.0,straight,0.0,0.0,stoppie
0.0,114.0,114.0,38.510174939050295,138.63662978058107,6,8307.989985545613,0.0,straight,0.0,0.0,stoppie
0.0,116.0,116.0,37.89362922556992,136.4170652120517,6,8174.9795377527125,0.0,straight,0.0,0.0,stoppie
0.0,118.0,118.0,37.26686790350078,134.1607244526028,6,8039.765226331926,0.0,straight,0.0,0.0,stoppie
0.0,120.0,120.0,36.62936476980099,131.86571317128357,6,7902.233530905604,0.0,straight,0.0,0.0,stoppie
0.0,122.0,122.0,35.980546743955976,129.5299682782415,6,7762.2608179877025,0.0,straight,0.0,0.0,stoppie
0.0,124.0,124.0,35.31978779180744,127.1512360505068,6,7619.712030141429,0.0,straight,0.0,0.0,stoppie
